pc_time,seq,x_m,y_m,z_m,rms_error_m,res_a0_m,res_a1_m,res_a2_m,res_a3_m,status_hex,pc_ms
2026-05-04 23:41:10.514,80,1.0082,1.0829,1.0551,0.4801,0.5114,-0.4018,-0.3664,0.6040,0x0000000F,206829
2026-05-04 23:41:11.131,81,1.3723,0.7624,1.3751,0.6752,0.6619,-0.4270,-0.7466,0.8036,0x0000000F,207447
2026-05-04 23:41:11.747,82,1.2887,0.7848,1.3580,0.6252,0.6087,-0.4178,-0.6680,0.7562,0x0000000F,208065
2026-05-04 23:41:12.411,83,1.6596,0.4151,1.5805,0.9354,0.8703,-0.4308,-1.1936,1.0640,0x0000000F,208684
2026-05-04 23:41:12.984,84,1.7351,0.4733,1.5660,0.9424,0.8948,-0.4828,-1.1782,1.0630,0x0000000F,209302
2026-05-04 23:41:13.597,85,2.2373,-0.0243,1.4866,1.2005,1.2104,-0.5944,-1.4265,1.3827,0x0000000F,209921
